tournament_id,tournament_name,start_time,processed_at,Pseudo,Position,GainsCash,Bounty,Reentry,buyin_total
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Nolimythe,1,46.8,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Bisat,2,25.2,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,shark feeder,3,0.0,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,odrAAdeKK,4,0.0,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Krazy Kat,5,0.0,0.0,1,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,Maitre Mat,6,0.0,0.0,0,10.0
35de1c44f9067f5a88e76d71ee1f733c8b90c85e,"CoronaMax VII - Filetonfric 03 du 14-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 03",2025-09-14 21:15:00,2025-10-26 20:47:17.326367,123CYRILLE,7,0.0,0.0,0,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,Bisat,1,40.95,0.0,0,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,Maitre Mat,2,22.05,0.0,0,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,shark feeder,3,0.0,0.0,0,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,Nolimythe,4,0.0,0.0,0,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,odrAAdeKK,5,0.0,0.0,1,10.0
04bd2b81cddb16602d0638e1d8295349d6343041,"CoronaMax VII - Filetonfric 04 du 21-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 04",2025-09-21 21:15:00,2025-10-26 20:47:17.336199,ServiceRever,6,0.0,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,Krazy Kat,1,46.8,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,odrAAdeKK,2,25.2,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,Bisat,3,0.0,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,shark feeder,4,0.0,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,Nolimythe,5,0.0,0.0,1,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,Maitre Mat,6,0.0,0.0,0,10.0
f3244f4d286da9cd962a5a872d7acc0c46f9d0a1,"CoronaMax VII - Filetonfric 05 du 28-
09-2025 21:15 en argent réel
CoronaMax VII - Filetonfric 05",2025-09-28 21:15:00,2025-10-26 20:47:17.344953,123CYRILLE,7,0.0,0.0,0,10.0
0852ac188e4ee3e5768305ba1e0fab596d7846e8,"CoronaMax VII - Filetonfric 06 du 05-
10-2025 21:15 en argent réel
Argent réel Inscription avec ticket possible Tournoi régulier",2025-10-05 21:15:00,2025-10-26 20:47:17.353191,Maitre Mat,1,40.5,0.0,0,10.0
