tournament_id,tournament_name,start_time,processed_at,Pseudo,Position,GainsCash,Bounty,Reentry,buyin_total
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,Krazy Kat,1,35.1,0.0,0,10.0
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,Nolimythe,2,18.9,0.0,0,10.0
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,123CYRILLE,3,0.0,0.0,0,10.0
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,odrAAdeKK,4,0.0,0.0,0,10.0
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,shark feeder,5,0.0,0.0,0,10.0
788062e1592be037bf4069321b34c905684302dc,CoronaMax VII - Filetonfric 01,2025-08-31 21:15:00,2025-09-07 21:05:03.537773,Bisat,6,0.0,0.0,0,10.0
